timestamp,volume,open,last_price,low,high
1606730400,553292.73,0.9995,0.9995,0.9992,0.9997
1606734000,291395.28,0.9996,0.9995,0.9994,0.9997
1606737600,342056.04,0.9995,0.9993,0.9992,0.9996
1606741200,380984.37,0.9992,0.9992,0.999,0.9994
1606744800,1117433.48,0.9993,0.9989,0.9989,0.9996
1606748400,2024938.26,0.9991,0.9996,0.9988,1.0
1606752000,882829.39,0.9996,1.0001,0.9996,1.0005
1606755600,798000.03,1.0002,0.9999,0.9999,1.0029
1606759200,712190.61,0.9999,0.9999,0.9997,1.0003
1606762800,374315.72,0.9999,1.0001,0.9998,1.0004
1606766400,155321.73,1.0001,0.9999,0.9998,1.0001
1606770000,152151.97,0.9999,0.9998,0.9996,1.0
1606773600,130193.49,0.9999,0.9999,0.9997,1.0
1606777200,285315.22,1.0,0.9996,0.9996,1.0
1606780800,513642.02,0.9996,0.9997,0.9995,0.9999
1606784400,250408.2,0.9997,0.9999,0.9997,1.0
1606788000,166106.85,0.9999,0.9996,0.9996,1.0
1606791600,342014.12,0.9997,0.9996,0.9995,0.9998
1606795200,302612.39,0.9996,0.9998,0.9996,1.0
1606798800,235551.4,0.9998,0.9998,0.9996,1.0
1606802400,290325.0,0.9997,0.9998,0.9993,0.9999
1606806000,769630.61,0.9997,0.9998,0.9995,0.9998
1606809600,429490.73,0.9998,0.9996,0.9995,0.9998
1606813200,437728.47,0.9996,0.9996,0.9994,0.9997
1606816800,1570125.6,0.9994,0.9993,0.9988,0.9998
1606820400,2058333.44,0.9993,0.9994,0.9987,1.0004
1606824000,1564323.91,0.9994,0.999,0.9988,1.0017
1606827600,1303092.05,0.999,0.999,0.9988,0.9993
1606831200,351100.59,0.999,0.9992,0.999,0.9995
1606834800,263949.68,0.9991,0.9993,0.998,0.9993
1606838400,393957.24,0.9994,0.9996,0.9993,0.9998
1606842000,166151.18,0.9997,0.9998,0.9995,0.9998
1606845600,605028.38,0.9999,0.9999,0.9997,1.0005
1606849200,299470.32,0.9999,0.9995,0.9995,1.0001
1606852800,197292.27,0.9996,0.9996,0.9993,0.9998
1606856400,48337.36,0.9996,0.9998,0.9996,0.9998
1606860000,51277.43,0.9998,0.9995,0.9993,0.9998
1606863600,305115.91,0.9994,0.9993,0.9993,0.9997
1606867200,419291.87,0.9992,0.9996,0.9992,0.9996
1606870800,178405.87,0.9996,0.9995,0.9994,0.9997
1606874400,154869.56,0.9996,0.9995,0.9994,0.9997
1606878000,210977.28,0.9995,0.9994,0.9993,0.9996
1606881600,323856.88,0.9995,0.9998,0.9989,0.9998
1606885200,190979.53,0.9997,0.9996,0.9995,0.9999
1606888800,434120.18,0.9998,0.9998,0.9996,0.9999
1606892400,224294.16,0.9998,0.9998,0.9995,1.0
1606896000,471345.77,0.9998,0.9998,0.9996,1.0
1606899600,655625.95,0.9998,1.0001,0.9995,1.0003
1606903200,352097.67,1.0001,1.0,0.9995,1.0002
1606906800,88658.32,1.0,0.9999,0.9998,1.0
1606910400,125646.13,0.9999,0.9997,0.9997,1.0
1606914000,350547.48,0.9997,1.0,0.9997,1.0019
1606917600,226044.84,1.0001,0.9998,0.9998,1.0002
1606921200,255861.03,0.9998,0.9997,0.9996,1.0
1606924800,276971.56,0.9997,0.9999,0.9996,1.0
1606928400,424296.33,0.9997,0.9997,0.9996,0.9999
1606932000,336810.67,0.9997,0.9998,0.9996,0.9999
1606935600,278487.93,0.9998,0.9996,0.9995,0.9998
1606939200,174804.51,0.9996,0.9997,0.9996,0.9998
1606942800,118659.41,0.9998,0.9997,0.9996,0.9998
1606946400,175233.95,0.9998,0.9997,0.9995,0.9999
1606950000,390893.61,0.9997,0.9994,0.9993,0.9997
1606953600,282372.64,0.9994,0.9994,0.9993,0.9995
1606957200,317410.67,0.9995,0.9995,0.9994,1.001
1606960800,98205.6,0.9994,0.9994,0.9994,0.9996
1606964400,151415.0,0.9996,0.9994,0.9993,0.9996
1606968000,112541.08,0.9994,0.9996,0.9994,0.9998
1606971600,103547.41,0.9996,0.9996,0.9995,0.9997
1606975200,147094.96,0.9997,0.9997,0.9997,0.9999
1606978800,891497.47,0.9997,0.9999,0.9996,1.0001
1606982400,389809.89,0.9999,0.9995,0.9994,0.9999
1606986000,182124.9,0.9995,0.9996,0.9994,0.9999
1606989600,394930.38,0.9996,0.9996,0.9993,0.9998
1606993200,393958.52,0.9994,0.9996,0.9994,0.9998
1606996800,380758.15,0.9996,0.9995,0.9992,0.9998
1607000400,441635.12,0.9993,0.9994,0.9993,0.9996
1607004000,184431.42,0.9995,0.9993,0.9993,0.9996
1607007600,468587.91,0.9995,0.9991,0.9989,0.9995
1607011200,449948.38,0.9991,0.9991,0.9991,0.9996
1607014800,414566.94,0.9992,0.9993,0.9991,0.9995
1607018400,493419.52,0.9993,0.9992,0.9991,0.9994
1607022000,382109.55,0.9992,0.9993,0.9992,0.9995
1607025600,407481.46,0.9993,0.9994,0.9992,0.9994
1607029200,213289.81,0.9993,0.9993,0.9993,0.9994
1607032800,52054.92,0.9993,0.9994,0.9991,0.9994
1607036400,104385.09,0.9992,0.9992,0.9991,0.9993
1607040000,236395.32,0.9992,0.9992,0.9991,0.9993
1607043600,180306.87,0.9992,0.9992,0.9991,0.9993
1607047200,547535.51,0.9992,0.9993,0.9991,0.9994
1607050800,520636.05,0.9992,0.9991,0.9991,1.0004
1607054400,287408.42,0.9993,0.9993,0.9991,0.9993
1607058000,257751.22,0.9991,0.9993,0.9991,0.9994
1607061600,98645.26,0.9993,0.9995,0.9993,0.9995
1607065200,330238.9,0.9994,0.9992,0.9992,0.9995
1607068800,233681.93,0.9992,0.9992,0.9991,0.9994
1607072400,408214.12,0.9992,0.9992,0.9992,0.9993
1607076000,1460570.12,0.9993,0.9992,0.9981,1.2187
1607079600,429782.83,0.9993,0.9995,0.9992,0.9997
1607083200,634416.81,0.9995,0.9995,0.9992,0.9999
1607086800,173139.62,0.9995,0.9993,0.9993,0.9995
1607090400,235406.01,0.9994,0.9996,0.9993,0.9996
1607094000,79180.51,0.9994,0.9995,0.9994,0.9997
1607097600,668829.31,0.9995,0.9994,0.9985,0.9998
1607101200,131533.44,0.9995,0.9997,0.9995,0.9997
1607104800,364920.09,0.9997,0.9996,0.9995,0.9999
1607108400,123643.99,0.9995,0.9995,0.9994,0.9997
1607112000,186922.13,0.9995,0.9996,0.9994,0.9999
1607115600,250973.97,0.9996,0.9994,0.9993,0.9999
1607119200,249398.9,0.9996,0.9996,0.9994,0.9998
1607122800,245215.7,0.9996,0.9997,0.9996,0.9999
1607126400,486801.21,0.9998,0.9994,0.9993,0.9999
1607130000,361005.95,0.9994,0.9993,0.9992,0.9995
1607133600,127882.95,0.9994,0.9992,0.9991,0.9994
1607137200,216446.34,0.9992,0.9993,0.9991,0.9994
1607140800,138463.12,0.9994,0.9992,0.9991,0.9994
1607144400,121891.67,0.9992,0.9991,0.9991,0.9993
1607148000,213148.71,0.9992,0.9991,0.9991,0.9992
1607151600,46461.74,0.9991,0.9992,0.9991,0.9992
1607155200,196152.23,0.9992,0.9992,0.9991,0.9993
